chr,start,mappability,gc_content,end,HM_RS7_G1_1
chr1,600000,1,0.6479,610000,2387
chr1,610000,1,0.6464,620000,2527
chr1,620000,0.925652,0.671,630000,2376
chr1,630000,0.9978,0.6599,640000,2418
chr1,640000,0.971,0.681,650000,2236
chr1,650000,1,0.6413,660000,2693
chr1,660000,1,0.6956,670000,2046
chr1,670000,0.9994,0.6922,680000,2366
chr1,680000,0.98055,0.6394,690000,2484
chr1,690000,0.98575,0.5951,700000,2529
chr1,700000,0.984752,0.6495,710000,2268
chr1,710000,1,0.6644,720000,2373
chr1,720000,0.913106,0.6543,730000,2193
chr1,730000,0.89228,0.6165,740000,2606
chr1,740000,1,0.6121,750000,2766
chr1,750000,0.940875,0.6502,760000,2434
chr1,760000,0.990533,0.6354,770000,2800
chr1,770000,1,0.6139,780000,2681
chr1,780000,1,0.6519,790000,2453
chr1,790000,0.9966,0.6332,800000,2614
chr1,800000,1,0.6265,810000,3420
chr1,810000,1,0.6288,820000,2708
chr1,820000,0.9955,0.6632,830000,2552
chr1,830000,1,0.6377,840000,2404
chr1,840000,1,0.6341,850000,2532
chr1,850000,0.9995,0.6381,860000,2613
chr1,860000,1,0.6364,870000,2008
chr1,870000,1,0.6213,880000,2460
chr1,880000,0.991429,0.6589,890000,2373
chr1,890000,1,0.6165,900000,2657
chr1,900000,1,0.5975,910000,2463
chr1,910000,0.831819,0.6047,920000,2515
chr1,920000,0.917767,0.663,930000,2367
chr1,930000,0.9954,0.6275,940000,2499
chr1,940000,0.987687,0.6336,950000,2494
chr1,950000,1,0.6295,960000,2526
chr1,960000,1,0.6345,970000,2290
chr1,970000,1,0.6754,980000,2399
chr1,980000,0.960333,0.6607,990000,2198
chr1,990000,0.9876,0.6129,1000000,2361
chr1,1000000,0.944917,0.6452,1010000,2481
chr1,1010000,1,0.6349,1020000,2621
chr1,1020000,1,0.6038,1030000,2796
chr1,1030000,1,0.6043,1040000,2958
chr1,1040000,1,0.5974,1050000,2769
chr1,1050000,1,0.6227,1060000,2778
chr1,1060000,1,0.6434,1070000,2631
chr1,1070000,0.9979,0.6562,1080000,2407
chr1,1080000,0.9119,0.5955,1090000,2776
chr1,1090000,1,0.5899,1100000,2798
chr1,1100000,1,0.6414,1110000,2504
chr1,1110000,1,0.6538,1120000,2436
chr1,1120000,0.979274,0.6735,1130000,2037
chr1,1130000,0.91455,0.7227,1140000,1794
chr1,1140000,1,0.65,1150000,2212
chr1,1150000,0.863165,0.6378,1160000,2296
chr1,1160000,0.76179,0.6585,1170000,2184
chr1,1170000,1,0.6334,1180000,2371
chr1,1180000,1,0.617,1190000,2497
chr1,1190000,1,0.6482,1200000,2483
chr1,1200000,0.858232,0.6287,1210000,2651
chr1,1210000,0.9983,0.6179,1220000,2410
chr1,1220000,0.9973,0.6729,1230000,1962
chr1,1230000,0.96855,0.7893,1240000,1460
chr1,1240000,0.999467,0.6617,1250000,2140
chr1,1250000,0.9836,0.631,1260000,2111
chr1,1260000,0.953483,0.6825,1270000,2331
chr1,1270000,0.93995,0.6292,1280000,2457
chr1,1280000,0.9119,0.6196,1290000,2600
chr1,1290000,0.978786,0.6286,1300000,2654
chr1,1300000,0.994117,0.6516,1310000,2408
chr1,1310000,1,0.626,1320000,2542
chr1,1320000,1,0.6218,1330000,2639
chr1,1330000,1,0.6042,1340000,2646
chr1,1340000,1,0.5941,1350000,2715
chr1,1350000,1,0.6165,1360000,2584
chr1,1360000,0.997067,0.5969,1370000,2598
chr1,1370000,1,0.6417,1380000,2560
chr1,1380000,0.99385,0.6457,1390000,2562
chr1,1390000,0.97215,0.6351,1400000,2614
chr1,1400000,1,0.6145,1410000,2721
chr1,1410000,1,0.6625,1420000,2300
chr1,1420000,1,0.6796,1430000,2146
chr1,1430000,1,0.656,1440000,2428
chr1,1440000,1,0.6423,1450000,3111
chr1,1450000,1,0.6434,1460000,2500
chr1,1460000,0.958967,0.5945,1470000,2671
chr1,1470000,0.985948,0.6928,1480000,2300
chr1,1480000,0.990092,0.6326,1490000,2407
chr1,1490000,0.977367,0.6372,1500000,2313
chr1,1500000,0.9979,0.64,1510000,2361
chr1,1510000,1,0.6554,1520000,2364
chr1,1520000,0.978343,0.633,1530000,2660
chr1,1530000,0.9982,0.6598,1540000,5778
chr1,1540000,1,0.6426,1550000,2535
chr1,1550000,0.962038,0.6329,1560000,2511
chr1,1560000,0.960442,0.6227,1570000,1986
chr1,1570000,1,0.6447,1580000,2514
chr1,1580000,0.9886,0.6269,1590000,2564
chr1,1590000,1,0.6463,1600000,2613
chr1,1600000,1,0.6212,1610000,2617
chr1,1610000,1,0.6579,1620000,2310
chr1,1620000,1,0.6601,1630000,2425
chr1,1630000,1,0.6263,1640000,2494
chr1,1640000,0.972725,0.6232,1650000,2431
chr1,1650000,0.963743,0.6537,1660000,2444
chr1,1660000,1,0.6389,1670000,2680
chr1,1670000,1,0.6019,1680000,2885
chr1,1680000,1,0.6177,1690000,2708
chr1,1690000,1,0.6243,1700000,2665
chr1,1700000,1,0.6194,1710000,2528
chr1,1710000,1,0.6125,1720000,2610
chr1,1720000,1,0.6081,1730000,2800
chr1,1730000,0.99215,0.6761,1740000,2405
chr1,1740000,1,0.6027,1750000,2782
chr1,1750000,1,0.6132,1760000,2689
chr1,1760000,1,0.6212,1770000,2649
chr1,1770000,0.9942,0.6372,1780000,2790
chr1,1780000,1,0.6469,1790000,2631
chr1,1790000,1,0.6323,1800000,2575
chr1,1800000,1,0.6204,1810000,2821
chr1,1810000,1,0.6195,1820000,2624
chr1,1820000,0.778891,0.6687,1830000,2441
chr1,1830000,0.996817,0.6351,1840000,2324
chr1,1840000,0.94723,0.6206,1850000,2578
chr1,1850000,1,0.606,1860000,2639
chr1,1860000,1,0.6535,1870000,2568
chr1,1870000,1,0.6152,1880000,2504
chr1,1880000,0.99621,0.6982,1890000,2063
chr1,1890000,0.8414,0.6409,1900000,2174
chr1,1900000,0.993158,0.6585,1910000,2138
chr1,1910000,1,0.6708,1920000,2049
chr1,1920000,0.99605,0.6528,1930000,2291
chr1,1930000,1,0.6247,1940000,2445
chr1,1940000,1,0.6335,1950000,2547
chr1,1950000,1,0.6755,1960000,2298
chr1,1960000,1,0.6289,1970000,2625
chr1,1970000,0.95715,0.6371,1980000,2531
chr1,1980000,0.99142,0.6366,1990000,2531
chr1,1990000,1,0.6203,2000000,2547
chr1,2000000,0.971623,0.6653,2010000,2326
chr1,2010000,0.99525,0.6337,2020000,2516
chr1,2020000,1,0.6257,2030000,2263
chr1,2030000,1,0.5985,2040000,2669
chr1,2040000,1,0.608,2050000,2900
chr1,2050000,1,0.6351,2060000,2313
chr1,2060000,0.981667,0.6088,2070000,2504
chr1,2070000,1,0.6486,2080000,2561
chr1,2080000,1,0.5863,2090000,2456
chr1,2090000,0.96715,0.6886,2100000,1983
chr1,2100000,1,0.6557,2110000,2303
chr1,2110000,0.974507,0.6372,2120000,2467
chr1,2120000,0.739034,0.5951,2130000,2473
chr1,2130000,1,0.6341,2140000,2608
chr1,2140000,1,0.6606,2150000,2274
chr1,2150000,1,0.6539,2160000,2406
chr1,2160000,0.98155,0.6429,2170000,2337
chr1,2170000,1,0.6316,2180000,2526
chr1,2180000,1,0.618,2190000,2629
chr1,2190000,0.99805,0.6094,2200000,2810
chr1,2200000,0.99915,0.6508,2210000,2455
chr1,2210000,0.966667,0.6236,2220000,2557
chr1,2220000,1,0.6017,2230000,2713
chr1,2230000,1,0.6271,2240000,2716
chr1,2240000,1,0.636,2250000,2676
chr1,2250000,1,0.6037,2260000,2715
chr1,2260000,0.9984,0.6388,2270000,2340
chr1,2270000,1,0.6741,2280000,2154
chr1,2280000,0.944081,0.6272,2290000,2525
chr1,2290000,1,0.6248,2300000,2589
chr1,2300000,0.9997,0.6636,2310000,2368
chr1,2310000,0.9929,0.7111,2320000,2157
chr1,2320000,0.99172,0.6434,2330000,2475
chr1,2330000,1,0.6141,2340000,2380
chr1,2340000,1,0.6525,2350000,2405
chr1,2350000,1,0.6045,2360000,2677
chr1,2360000,1,0.6183,2370000,2685
chr1,2370000,1,0.6245,2380000,2605
chr1,2380000,0.988117,0.6565,2390000,2195
chr1,2390000,1,0.6323,2400000,2620
chr1,2400000,1,0.5947,2410000,2554
chr1,2410000,1,0.6025,2420000,2502
chr1,2420000,0.994408,0.6406,2430000,2488
chr1,2430000,1,0.6154,2440000,2617
chr1,2440000,1,0.6614,2450000,2510
chr1,2450000,1,0.6064,2460000,2742
chr1,2460000,0.922852,0.598,2470000,9007
chr1,2470000,0.9831,0.6248,2480000,2673
chr1,2480000,0.99465,0.6452,2490000,2391
chr1,2490000,1,0.5968,2500000,2809
chr1,2500000,1,0.6125,2510000,2614
chr1,2510000,1,0.6169,2520000,2553
chr1,2520000,1,0.5935,2530000,2803
chr1,2530000,1,0.6262,2540000,2639
chr1,2540000,1,0.6036,2550000,2814
chr1,2550000,0.9985,0.6221,2560000,2785
chr1,2560000,0.9757,0.6205,2570000,2877
chr1,2570000,1,0.6288,2580000,2595
chr1,2580000,0.9898,0.6273,2590000,2672
chr1,2590000,0.9954,0.5951,2600000,2482
chr1,2600000,1,0.6502,2610000,2361
chr1,2610000,1,0.6077,2620000,2577
chr1,2620000,0.9416,0.6171,2630000,2568
chr1,2630000,0.880349,0.5846,2640000,2869
chr1,2640000,0.995417,0.6079,2650000,2740
chr1,2650000,0.96325,0.6279,2660000,2628
chr1,2660000,1,0.6425,2670000,2469
chr1,2670000,0.8819,0.6367,2680000,2318
chr1,2680000,0.997725,0.6362,2690000,2348
chr1,2690000,0.99482,0.6196,2700000,2698
chr1,2700000,0.9891,0.6447,2710000,5192
chr1,2710000,0.801379,0.6633,2720000,2139
chr1,2720000,0.970271,0.5966,2730000,2779
chr1,2730000,1,0.6171,2740000,2742
chr1,2740000,1,0.5894,2750000,2803
chr1,2750000,0.932153,0.6419,2760000,2577
chr1,2760000,0.968856,0.5728,2770000,2765
chr1,2770000,0.98355,0.6263,2780000,2720
chr1,2780000,1,0.6074,2790000,2813
chr1,2790000,1,0.6002,2800000,2742
chr1,2800000,1,0.627,2810000,2683
chr1,2810000,0.9919,0.6377,2820000,2651
chr1,2820000,1,0.6069,2830000,2817
chr1,2830000,0.95323,0.6737,2840000,2373
chr1,2840000,0.96835,0.6086,2850000,2703
chr1,2850000,0.98575,0.6319,2860000,2644
chr1,2860000,0.97285,0.5948,2870000,2720
chr1,2870000,0.97665,0.6406,2880000,2694
chr1,2880000,1,0.6452,2890000,2533
chr1,2890000,1,0.6168,2900000,2553
chr1,2900000,1,0.6446,2910000,2441
chr1,2910000,1,0.6343,2920000,2525
chr1,2920000,1,0.643,2930000,2435
chr1,2930000,0.9875,0.6229,2940000,2624
chr1,2940000,0.999475,0.64,2950000,2466
chr1,2950000,1,0.6233,2960000,2470
chr1,2960000,0.982891,0.6256,2970000,2563
chr1,2970000,0.993842,0.6578,2980000,2565
chr1,2980000,0.977767,0.5897,2990000,2967
chr1,2990000,1,0.6007,3000000,2759
chr1,3000000,0.9957,0.6378,3010000,2705
chr1,3010000,0.9685,0.6338,3020000,2539
chr1,3020000,0.778868,0.6262,3030000,2580
chr1,3030000,0.875273,0.6687,3040000,2258
chr1,3040000,0.676813,0.609,3050000,2633
chr1,3050000,1,0.6169,3060000,2319
chr1,3060000,1,0.6106,3070000,2693
chr1,3070000,1,0.644,3080000,2567
chr1,3080000,1,0.6177,3090000,2499
chr1,3090000,1,0.5979,3100000,2510
chr1,3100000,0.98247,0.6658,3110000,2273
chr1,3110000,0.957939,0.6401,3120000,2324
chr1,3120000,1,0.6231,3130000,2488
chr1,3130000,0.828762,0.607,3140000,2429
chr1,3140000,0.950685,0.6129,3150000,2639
chr1,3150000,0.955869,0.6296,3160000,2341
chr1,3160000,0.965683,0.6331,3170000,2555
chr1,3170000,0.99625,0.6406,3180000,2438
chr1,3180000,1,0.6156,3190000,2661
chr1,3190000,1,0.6336,3200000,2455
chr1,3200000,1,0.6349,3210000,2505
chr1,3210000,1,0.6169,3220000,2639
chr1,3220000,0.994033,0.6484,3230000,2548
chr1,3230000,0.8286,0.6454,3240000,2380
chr1,3240000,1,0.6555,3250000,2531
chr1,3250000,1,0.6222,3260000,2690
chr1,3260000,1,0.5989,3270000,2642
chr1,3270000,0.993937,0.6464,3280000,2473
chr1,3280000,0.944021,0.6579,3290000,2250
chr1,3290000,0.992183,0.6475,3300000,2404
chr1,3300000,0.984945,0.6422,3310000,2388
chr1,3310000,1,0.6328,3320000,2651
chr1,3320000,1,0.6162,3330000,2640
chr1,3330000,1,0.6212,3340000,2616
chr1,3340000,0.980825,0.6426,3350000,2455
chr1,3350000,0.999,0.6351,3360000,2617
chr1,3360000,1,0.6273,3370000,2539
chr1,3370000,1,0.6389,3380000,2391
chr1,3380000,1,0.6326,3390000,2755
chr1,3390000,0.9909,0.6903,3400000,2196
chr1,3400000,1,0.608,3410000,2697
chr1,3410000,1,0.6133,3420000,2570
chr1,3420000,1,0.6181,3430000,2601
chr1,3430000,1,0.6052,3440000,2820
chr1,3440000,1,0.643,3450000,2515
chr1,3450000,1,0.6262,3460000,2487
chr1,3460000,1,0.6289,3470000,2552
chr1,3470000,1,0.6677,3480000,2418
chr1,3480000,0.996933,0.6412,3490000,2414
chr1,3490000,0.99385,0.6706,3500000,2386
chr1,3500000,0.957673,0.639,3510000,2621
chr1,3510000,1,0.6229,3520000,2689
chr1,3520000,1,0.6026,3530000,2814
chr1,3530000,1,0.6455,3540000,2388
chr1,3540000,0.9987,0.6788,3550000,2390
chr1,3550000,0.9972,0.609,3560000,2693
chr1,3560000,0.815675,0.6318,3570000,2546
chr1,3570000,0.97945,0.6453,3580000,2521
chr1,3580000,1,0.617,3590000,2615
chr1,3590000,1,0.6263,3600000,3015
chr1,3600000,1,0.6311,3610000,2780
chr1,3610000,0.993783,0.6207,3620000,2687
chr1,3620000,0.989,0.6135,3630000,2675
chr1,3630000,1,0.6344,3640000,2803
chr1,3640000,1,0.6441,3650000,2655
chr1,3650000,1,0.6116,3660000,2825
chr1,3660000,1,0.6094,3670000,2613
chr1,3670000,1,0.6465,3680000,2562
chr1,3680000,1,0.6335,3690000,2479
chr1,3690000,0.9894,0.6004,3700000,2781
chr1,3700000,0.956217,0.6333,3710000,2583
chr1,3710000,1,0.6404,3720000,2622
chr1,3720000,1,0.6323,3730000,2799
chr1,3730000,1,0.673,3740000,2452
chr1,3740000,1,0.6095,3750000,2864
chr1,3750000,0.800492,0.6266,3760000,2786
chr1,3760000,0.671867,0.6045,3770000,2789
chr1,3770000,1,0.5967,3780000,2659
chr1,3780000,0.993308,0.6263,3790000,2222
chr1,3790000,0.791708,0.6076,3800000,2405
chr1,3800000,0.986933,0.5993,3810000,2648
chr1,3810000,1,0.6105,3820000,2724
chr1,3820000,0.99765,0.6091,3830000,2642
chr1,3830000,1,0.6427,3840000,2586
chr1,3840000,1,0.619,3850000,2667
chr1,3850000,1,0.6283,3860000,2645
chr1,3860000,1,0.6454,3870000,2660
chr1,3870000,1,0.6205,3880000,2659
chr1,3880000,1,0.6201,3890000,2635
chr1,3890000,0.958983,0.6379,3900000,2537
chr1,3900000,0.97785,0.6869,3910000,4016
chr1,3910000,1,0.6401,3920000,2376
chr1,3920000,1,0.6369,3930000,2614
chr1,3930000,0.9987,0.598,3940000,2639
chr1,3940000,1,0.6314,3950000,2800
chr1,3950000,0.99485,0.6239,3960000,2621
chr1,3960000,1,0.626,3970000,2673
chr1,3970000,1,0.6468,3980000,2309
chr1,3980000,0.9937,0.622,3990000,2653
chr1,3990000,0.9978,0.6543,4000000,2261
chr1,4000000,1,0.6576,4010000,2510
chr1,4010000,1,0.5796,4020000,2602
chr1,4020000,1,0.6718,4030000,2328
chr1,4030000,1,0.6484,4040000,2694
chr1,4040000,0.993448,0.6166,4050000,2453
chr1,4050000,0.983267,0.6051,4060000,2716
chr1,4060000,1,0.6091,4070000,2745
chr1,4070000,0.903783,0.6214,4080000,2969
chr1,4080000,1,0.5991,4090000,2842
chr1,4090000,0.98295,0.6371,4100000,2580
chr1,4100000,0.97215,0.6212,4110000,2443
chr1,4110000,1,0.6111,4120000,2581
chr1,4120000,1,0.6633,4130000,2442
chr1,4130000,1,0.6406,4140000,2397
chr1,4140000,1,0.6342,4150000,2501
chr1,4150000,0.99725,0.6913,4160000,4873
chr1,4160000,1,0.6319,4170000,2289
chr1,4170000,1,0.6151,4180000,2553
chr1,4180000,0.992059,0.6608,4190000,2402
chr1,4190000,1,0.6394,4200000,2298
chr1,4200000,0.975,0.6291,4210000,2620
chr1,4210000,1,0.6364,4220000,2420
chr1,4220000,1,0.6115,4230000,2717
chr1,4230000,1,0.6707,4240000,2374
chr1,4240000,1,0.6661,4250000,2447
chr1,4250000,1,0.61,4260000,2414
chr1,4260000,0.98945,0.6762,4270000,2339
chr1,4270000,1,0.6494,4280000,2795
chr1,4280000,0.942004,0.6456,4290000,2422
chr1,4290000,0.964093,0.6277,4300000,3475
chr1,4300000,1,0.6295,4310000,2464
chr1,4310000,1,0.6925,4320000,2127
chr1,4320000,1,0.6294,4330000,2248
chr1,4330000,1,0.6501,4340000,2315
chr1,4340000,0.9994,0.6282,4350000,2493
chr1,4350000,1,0.6227,4360000,2716
chr1,4360000,1,0.6153,4370000,2618
chr1,4370000,0.9986,0.6508,4380000,2437
chr1,4380000,1,0.6344,4390000,2199
chr1,4390000,0.738224,0.6229,4400000,2435
chr1,4400000,0.9947,0.6281,4410000,2487
chr1,4410000,1,0.6223,4420000,2841
chr1,4420000,1,0.6069,4430000,2835
chr1,4430000,1,0.6122,4440000,2543
chr1,4440000,1,0.6176,4450000,5524
chr1,4450000,1,0.6265,4460000,2337
chr1,4460000,0.9018,0.6666,4470000,2052
chr1,4470000,0.784425,0.6001,4480000,2617
chr1,4480000,0.857022,0.573,4490000,2815
chr1,4490000,1,0.6461,4500000,2621
chr1,4500000,0.98945,0.6422,4510000,2613
chr1,4510000,1,0.6377,4520000,2654
chr1,4520000,0.9987,0.6411,4530000,2551
chr1,4530000,0.998383,0.6686,4540000,2455
chr1,4540000,0.9837,0.6572,4550000,2379
chr1,4550000,0.98365,0.664,4560000,2371
chr1,4560000,0.98245,0.6318,4570000,2417
chr1,4570000,0.99905,0.677,4580000,2264
chr1,4580000,0.923042,0.6557,4590000,2311
chr1,4590000,0.99685,0.6567,4600000,2723
chr1,4600000,0.982448,0.6206,4610000,2819
chr1,4610000,0.99895,0.5972,4620000,2651
chr1,4620000,0.98,0.6395,4630000,2520
chr1,4630000,1,0.5971,4640000,2751
chr1,4640000,1,0.6232,4650000,2754
chr1,4650000,1,0.6089,4660000,2537
chr1,4660000,0.950403,0.6505,4670000,2273
chr1,4670000,0.971779,0.6715,4680000,1937
chr1,4680000,0.9895,0.6572,4690000,2160
chr1,4690000,1,0.6146,4700000,2347
chr1,4700000,0.988583,0.6631,4710000,2316
chr1,4710000,0.963474,0.65,4720000,2256
chr1,4720000,0.961955,0.6814,4730000,2024
chr1,4730000,0.9949,0.6739,4740000,2025
chr1,4740000,1,0.6332,4750000,2356
chr1,4750000,1,0.6326,4760000,2549
chr1,4760000,0.9893,0.6787,4770000,2300
chr1,4770000,1,0.6778,4780000,2136
chr1,4780000,0.930032,0.6631,4790000,2418
chr1,4790000,1,0.6306,4800000,2428
chr1,4800000,1,0.659,4810000,2332
chr1,4810000,1,0.6388,4820000,2583
chr1,4820000,1,0.6298,4830000,2591
chr1,4830000,1,0.6285,4840000,2611
chr1,4840000,0.994625,0.6044,4850000,2675
chr1,4850000,1,0.6154,4860000,2585
chr1,4860000,1,0.6306,4870000,2737
chr1,4870000,0.9992,0.6786,4880000,2254
chr1,4880000,0.982904,0.6315,4890000,2562
chr1,4890000,0.938501,0.6691,4900000,2345
chr1,4900000,1,0.6373,4910000,2559
chr1,4910000,1,0.6454,4920000,2416
chr1,4920000,1,0.6072,4930000,2730
chr1,4930000,1,0.6736,4940000,2809
chr1,4940000,1,0.6999,4950000,1917
chr1,4950000,0.9984,0.6908,4960000,2008
chr1,4960000,0.9982,0.6784,4970000,2156
chr1,4970000,0.992633,0.6449,4980000,2366
chr1,4980000,0.97754,0.6256,4990000,2488
chr1,4990000,0.964841,0.6613,5000000,2319
chr1,5000000,1,0.6391,5010000,2334
chr1,5010000,1,0.6649,5020000,2473
chr1,5020000,1,0.6367,5030000,2378
chr1,5030000,1,0.673,5040000,2193
chr1,5040000,1,0.608,5050000,2472
chr1,5050000,0.915435,0.61,5060000,2403
chr1,5060000,0.974663,0.6409,5070000,2428
chr1,5070000,1,0.6541,5080000,2601
chr1,5080000,0.978886,0.6311,5090000,2496
chr1,5090000,1,0.6656,5100000,2544
chr1,5100000,1,0.6451,5110000,2412
chr1,5110000,0.9988,0.6751,5120000,2205
chr1,5120000,0.997967,0.6372,5130000,2432
chr1,5130000,0.995433,0.6625,5140000,2384
chr1,5140000,0.977808,0.6098,5150000,2693
chr1,5150000,1,0.6213,5160000,2276
chr1,5160000,1,0.6487,5170000,2237
chr1,5170000,1,0.63,5180000,2422
chr1,5180000,0.993198,0.6437,5190000,2447
chr1,5190000,0.990348,0.6517,5200000,2620
chr1,5200000,0.754165,0.6053,5210000,2565
chr1,5210000,0.908347,0.6582,5220000,2395
chr1,5220000,0.851077,0.7168,5230000,1961
chr1,5230000,0.9948,0.6779,5240000,2153
chr1,5240000,1,0.6678,5250000,1795
chr1,5250000,0.936194,0.6127,5260000,2259
chr1,5260000,1,0.6328,5270000,2518
chr1,5270000,0.9422,0.6339,5280000,2467
chr1,5280000,0.9984,0.6571,5290000,1929
chr1,5290000,0.99605,0.597,5300000,1686
chr1,5300000,1,0.6316,5310000,2264
chr1,5310000,1,0.6337,5320000,2703
chr1,5320000,0.993475,0.6385,5330000,2682
chr1,5330000,0.995933,0.6254,5340000,2667
chr1,5340000,1,0.6159,5350000,2862
chr1,5350000,1,0.6323,5360000,2767
chr1,5360000,0.9635,0.6151,5370000,2516
chr1,5370000,1,0.6643,5380000,2457
chr1,5380000,1,0.6457,5390000,2411
chr1,5390000,0.995367,0.6995,5400000,2021
chr1,5400000,1,0.6358,5410000,2589
chr1,5410000,1,0.6028,5420000,2930
chr1,5420000,1,0.6157,5430000,3305
chr1,5430000,0.797625,0.617,5440000,2625
chr1,5440000,1,0.6274,5450000,2970
chr1,5450000,0.923578,0.6491,5460000,2423
chr1,5460000,0.907756,0.6437,5470000,2515
chr1,5470000,1,0.6133,5480000,2565
chr1,5480000,1,0.6221,5490000,2587
chr1,5490000,1,0.6337,5500000,2445
chr1,5500000,0.986263,0.6585,5510000,2262
chr1,5510000,0.9998,0.6422,5520000,2479
chr1,5520000,0.99085,0.6808,5530000,2152
chr1,5530000,1,0.7245,5540000,1916
chr1,5540000,0.997467,0.6577,5550000,2255
chr1,5550000,0.693633,0.6478,5560000,2043
chr1,5560000,0.512533,0.6209,5570000,1831
chr1,5570000,0.743033,0.652,5580000,2120
chr1,5580000,1,0.6435,5590000,2524
chr1,5590000,1,0.6567,5600000,2376
chr1,5600000,0.987208,0.6985,5610000,2134
chr1,5610000,0.99925,0.6708,5620000,2149
chr1,5620000,0.946562,0.6781,5630000,1904
chr1,5630000,0.939399,0.6576,5640000,2224
chr1,5640000,0.99005,0.6366,5650000,2558
chr1,5650000,0.97405,0.6676,5660000,2513
chr1,5660000,0.98595,0.6306,5670000,2510
chr1,5670000,0.955342,0.6359,5680000,2467
chr1,5680000,1,0.6175,5690000,2704
chr1,5690000,0.741037,0.6276,5700000,2547
chr1,5700000,0.898602,0.6677,5710000,2469
chr1,5710000,1,0.7073,5720000,1966
chr1,5720000,0.978077,0.6544,5730000,2280
chr1,5730000,1,0.6407,5740000,2617
chr1,5740000,0.945494,0.648,5750000,2371
chr1,5750000,1,0.6685,5760000,2282
chr1,5760000,1,0.6817,5770000,2325
chr1,5770000,1,0.6299,5780000,2598
chr1,5780000,1,0.6389,5790000,2459
chr1,5790000,0.99665,0.6098,5800000,2943
chr1,5800000,0.95855,0.6413,5810000,2540
chr1,5810000,1,0.631,5820000,2682
chr1,5820000,1,0.6265,5830000,2814
chr1,5830000,0.778268,0.6039,5840000,2368
chr1,5840000,1,0.68,5850000,2411
chr1,5850000,0.994717,0.6291,5860000,2695
chr1,5860000,0.994128,0.6658,5870000,2405
chr1,5870000,0.988942,0.6022,5880000,2932
chr1,5880000,0.9542,0.6919,5890000,2224
chr1,5890000,0.959195,0.6194,5900000,2279
chr1,5900000,0.918383,0.6149,5910000,2522
chr1,5910000,1,0.6503,5920000,2284
chr1,5920000,0.97874,0.657,5930000,2276
chr1,5930000,0.934315,0.629,5940000,2333
chr1,5940000,0.759456,0.6204,5950000,2391
chr1,5950000,1,0.6352,5960000,2487
chr1,5960000,1,0.6324,5970000,4580
chr1,5970000,0.95345,0.6557,5980000,2311
chr1,5980000,0.712715,0.6402,5990000,2118
chr1,5990000,0.95975,0.6584,6000000,2352
chr1,6000000,0.992572,0.6397,6010000,2579
chr1,6010000,1,0.6433,6020000,2593
chr1,6020000,1,0.6688,6030000,2326
chr1,6030000,0.961925,0.6701,6040000,2413
chr1,6040000,1,0.6398,6050000,2576
