chr,start,mappability,gc_content,end,sample_H
Group 1,61500000,0.928859,0.526733,61800000,24291
Group 1,61800000,0.932099,0.524587,62100000,20192
Group 1,62100000,0.886694,0.522923,62400000,17035
Group 1,62400000,0.872069,0.54059,62700000,15557
Group 1,62700000,0.902115,0.532953,63000000,11169
Group 1,63000000,0.9099,0.54502,63300000,13430
Group 1,63300000,0.92197,0.531953,63600000,33877
Group 1,63600000,0.87608,0.541303,63900000,13084
Group 1,63900000,0.872243,0.525853,64200000,13055
Group 1,64200000,0.93787,0.53579,64500000,13783
Group 1,64500000,0.899243,0.540743,64800000,17805
Group 1,64800000,0.907326,0.540233,65100000,15453
Group 1,65100000,0.848481,0.53983,65400000,16519
Group 1,65400000,0.82842,0.538713,65700000,18671
Group 1,65700000,0.921708,0.54307,66000000,20861
Group 1,66000000,0.835112,0.54986,66300000,21269
Group 1,66300000,0.82941,0.526857,66600000,19139
Group 1,66600000,0.867905,0.537803,66900000,19546
Group 1,66900000,0.872859,0.556567,67200000,21064
Group 1,67200000,0.912367,0.533457,67500000,19824
Group 1,67500000,0.740649,0.416157,67800000,19771
Group 1,67800000,0.890849,0.507787,68100000,19078
Group 1,68100000,0.932,0.52526,68400000,20323
Group 1,68400000,0.913518,0.549837,68700000,20473
Group 1,68700000,0.903848,0.535723,69000000,21021
Group 1,69000000,0.947981,0.53425,69300000,21100
Group 1,69300000,0.902183,0.540227,69600000,20492
Group 1,69600000,0.856031,0.545407,69900000,21637
Group 1,69900000,0.861907,0.537143,70200000,19153
Group 1,70200000,0.925666,0.54997,70500000,18128
Group 1,70500000,0.881939,0.530297,70800000,17964
Group 1,70800000,0.878869,0.559803,71100000,14041
Group 1,71100000,0.896499,0.545423,71400000,11598
Group 1,71400000,0.904486,0.537203,71700000,8665
Group 1,71700000,0.897081,0.53408,72000000,12485
Group 1,72000000,0.910789,0.538633,72300000,11218
Group 1,72300000,0.928603,0.542613,72600000,15506
Group 1,72600000,0.888718,0.531153,72900000,15594
Group 1,72900000,0.848234,0.517977,73200000,11129
Group 1,73200000,0.885021,0.551293,73500000,15972
Group 1,73500000,0.901819,0.530307,73800000,13976
Group 1,73800000,0.912573,0.53504,74100000,14519
Group 1,74100000,0.794103,0.534817,74400000,8586
Group 1,74400000,0.889195,0.548603,74700000,13159
Group 1,74700000,0.904911,0.536827,75000000,13247
Group 1,75000000,0.926162,0.52576,75300000,16118
Group 1,75300000,0.904642,0.549273,75600000,16042
Group 1,75600000,0.886357,0.534763,75900000,15810
Group 1,75900000,0.874631,0.526217,76200000,15861
Group 1,76200000,0.908968,0.52766,76500000,14778
Group 1,76500000,0.907583,0.533233,76800000,20044
Group 1,76800000,0.865532,0.53058,77100000,16779
Group 1,77100000,0.907277,0.517773,77400000,15842
Group 1,77400000,0.917205,0.541297,77700000,16638
Group 1,77700000,0.9009,0.521207,78000000,14600
Group 1,78000000,0.867054,0.52111,78300000,12907
Group 1,78300000,0.914867,0.510127,78600000,11317
Group 1,78600000,0.896536,0.52037,78900000,13686
Group 1,78900000,0.873214,0.526623,79200000,14994
Group 1,79200000,0.84639,0.546937,79500000,15475
Group 1,79500000,0.924016,0.536633,79800000,15340
Group 1,79800000,0.865734,0.553637,80100000,14617
Group 1,80100000,0.91673,0.527897,80400000,19815
Group 1,80400000,0.864557,0.54192,80700000,20697
Group 1,80700000,0.903817,0.533503,81000000,18942
Group 1,81000000,0.881858,0.515517,81300000,17303
Group 1,81300000,0.890664,0.522307,81600000,16541
Group 1,81600000,0.901344,0.52652,81900000,18994
Group 1,81900000,0.903227,0.527457,82200000,17843
Group 1,82200000,0.915521,0.521923,82500000,21531
Group 1,82500000,0.949825,0.52945,82800000,18900
Group 1,82800000,0.924739,0.53893,83100000,19323
Group 1,83100000,0.856118,0.537683,83400000,19382
Group 1,83400000,0.917071,0.521237,83700000,19249
Group 1,83700000,0.919168,0.533737,84000000,21665
Group 1,84000000,0.900287,0.549273,84300000,18059
Group 1,84300000,0.917726,0.548013,84600000,18840
Group 1,84600000,0.9207,0.519043,84900000,17524
Group 1,84900000,0.923679,0.51812,85200000,17806
Group 1,85200000,0.833137,0.534433,85500000,19758
Group 1,85500000,0.926572,0.550013,85800000,19452
Group 1,85800000,0.902157,0.523963,86100000,18215
Group 1,86100000,0.907205,0.536093,86400000,21371
Group 1,86400000,0.930973,0.543493,86700000,20022
Group 1,86700000,0.886435,0.544217,87000000,19261
Group 1,87000000,0.881815,0.542317,87300000,21258
Group 1,87300000,0.871716,0.54968,87600000,20556
Group 1,87600000,0.886116,0.54269,87900000,19300
Group 1,87900000,0.946091,0.54541,88200000,18672
Group 1,88200000,0.88191,0.529813,88500000,20190
Group 1,88500000,0.925237,0.54849,88800000,19040
Group 1,88800000,0.937483,0.53527,89100000,17826
Group 1,89100000,0.847413,0.509803,89400000,19545
Group 1,89400000,0.908938,0.538633,89700000,19581
Group 1,89700000,0.885219,0.551553,90000000,20720
Group 1,90000000,0.935754,0.544007,90300000,19491
Group 1,90300000,0.900778,0.51892,90600000,19923
Group 1,90600000,0.845041,0.509613,90900000,20638
Group 1,90900000,0.905945,0.54003,91200000,19710
Group 1,91200000,0.892077,0.537453,91500000,20662
Group 1,91500000,0.89392,0.54426,91800000,20130
Group 1,91800000,0.896976,0.541303,92100000,19316
Group 1,92100000,0.8556,0.537257,92400000,20602
Group 1,92400000,0.903804,0.549827,92700000,19777
Group 1,92700000,0.896669,0.54299,93000000,19329
Group 1,93000000,0.89073,0.536663,93300000,19817
Group 1,93300000,0.908665,0.536363,93600000,18369
Group 1,93600000,0.898101,0.528707,93900000,19593
Group 1,93900000,0.889482,0.546903,94200000,19792
Group 1,94200000,0.87573,0.5316,94500000,19096
Group 1,94500000,0.926296,0.502643,94800000,18837
Group 1,94800000,0.902375,0.51181,95100000,18685
Group 1,95100000,0.872237,0.52927,95400000,20103
Group 1,95400000,0.926913,0.53977,95700000,20296
Group 1,95700000,0.891997,0.53419,96000000,18058
Group 1,96000000,0.831062,0.574737,96300000,16681
Group 1,96300000,0.84757,0.554103,96600000,22150
Group 1,96600000,0.941625,0.554183,96900000,20858
Group 1,96900000,0.893251,0.544073,97200000,21721
Group 1,97200000,0.913757,0.546633,97500000,20044
Group 1,97500000,0.925579,0.510763,97800000,19975
Group 1,97800000,0.914447,0.535377,98100000,19811
Group 1,98100000,0.904848,0.528757,98400000,20684
Group 1,98400000,0.874736,0.554093,98700000,20051
Group 1,98700000,0.939691,0.54745,99000000,19111
Group 1,99000000,0.900449,0.546917,99300000,19851
Group 1,99300000,0.883132,0.535073,99600000,19922
Group 1,99600000,0.912901,0.527273,99900000,19320
Group 1,99900000,0.804407,0.54951,100200000,18633
Group 1,100200000,0.801585,0.59493,100500000,17244
Group 1,100500000,0.901092,0.551903,100800000,20993
Group 1,100800000,0.90701,0.54653,101100000,27482
Group 1,101100000,0.933018,0.525403,101400000,39719
Group 1,101400000,0.924932,0.561183,101700000,19987
Group 1,101700000,0.898638,0.539257,102000000,23282
Group 1,102000000,0.914924,0.55331,102300000,19727
Group 1,102300000,0.945662,0.531953,102600000,19181
Group 1,102600000,0.869832,0.542973,102900000,18728
Group 1,102900000,0.806136,0.572647,103200000,24091
Group 1,103200000,0.955444,0.517847,103500000,19070
Group 1,103500000,0.921265,0.515727,103800000,18351
Group 1,103800000,0.935523,0.53522,104100000,18922
Group 1,104100000,0.927476,0.515407,104400000,19366
Group 1,104400000,0.893769,0.545397,104700000,20302
Group 1,104700000,0.903038,0.530963,105000000,20238
Group 1,105000000,0.936807,0.541967,105300000,19888
Group 1,105300000,0.884092,0.527317,105600000,19717
Group 1,105600000,0.913679,0.527607,105900000,18917
Group 1,105900000,0.851729,0.53204,106200000,18929
Group 1,106200000,0.912606,0.55594,106500000,18905
Group 1,106500000,0.880555,0.529653,106800000,20274
Group 1,106800000,0.92223,0.538603,107100000,19877
Group 1,107100000,0.871404,0.550143,107400000,19553
Group 1,107400000,0.886749,0.547387,107700000,19324
Group 1,107700000,0.924631,0.532133,108000000,20685
Group 1,108000000,0.943285,0.558433,108300000,19159
Group 1,108300000,0.876882,0.525207,108600000,19019
Group 1,108600000,0.936071,0.545703,108900000,19662
Group 1,108900000,0.913005,0.543277,109200000,19839
Group 1,109200000,0.881126,0.518957,109500000,20621
Group 1,109500000,0.866747,0.542733,109800000,19833
Group 1,109800000,0.838061,0.559633,110100000,13728
Group 1,110100000,0.919272,0.52299,110400000,18526
Group 1,110400000,0.929824,0.540563,110700000,19388
Group 1,110700000,0.904403,0.548897,111000000,19897
Group 1,111000000,0.910168,0.5224,111300000,18796
Group 1,111300000,0.905757,0.552947,111600000,19940
Group 1,111600000,0.904408,0.541867,111900000,18294
Group 1,111900000,0.895373,0.552037,112200000,19042
Group 1,112200000,0.880065,0.535537,112500000,19040
Group 1,112500000,0.936637,0.530473,112800000,18362
Group 1,112800000,0.880194,0.534877,113100000,19623
Group 1,113100000,0.883098,0.550127,113400000,21071
Group 1,113400000,0.888372,0.53908,113700000,19116
Group 1,113700000,0.897963,0.500727,114000000,21391
Group 1,114000000,0.87855,0.53378,114300000,20267
Group 1,114300000,0.881432,0.534027,114600000,20926
Group 1,114600000,0.912197,0.522157,114900000,21221
Group 1,114900000,0.902402,0.563653,115200000,22159
Group 1,115200000,0.905423,0.55442,115500000,20783
Group 1,115500000,0.892439,0.534583,115800000,20920
Group 1,115800000,0.904903,0.52323,116100000,22609
Group 1,116100000,0.91194,0.551313,116400000,20497
Group 1,116400000,0.878185,0.555867,116700000,19073
Group 1,116700000,0.877914,0.538963,117000000,21320
Group 1,117000000,0.914545,0.517427,117300000,21411
Group 1,117300000,0.936712,0.53554,117600000,20674
Group 1,117600000,0.845736,0.545877,117900000,21542
Group 1,117900000,0.887383,0.549047,118200000,21834
Group 1,118200000,0.920022,0.548163,118500000,21690
Group 1,118500000,0.914675,0.53088,118800000,21922
Group 1,118800000,0.866632,0.53184,119100000,21616
Group 1,119100000,0.767765,0.573753,119400000,18230
Group 1,119400000,0.929087,0.546757,119700000,19776
Group 1,119700000,0.871083,0.54589,120000000,21797
Group 1,120000000,0.879698,0.52546,120300000,19120
Group 1,120300000,0.911733,0.545627,120600000,26914
Group 1,120600000,0.920143,0.547643,120900000,18886
Group 1,120900000,0.943086,0.538953,121200000,18515
Group 1,121200000,0.932354,0.543733,121500000,18064
Group 1,121500000,0.878312,0.534197,121800000,18517
Group 1,121800000,0.945426,0.527367,122100000,19305
Group 1,122100000,0.901473,0.546757,122400000,17661
Group 1,122400000,0.891429,0.546487,122700000,20225
Group 1,122700000,0.92958,0.546733,123000000,17731
Group 1,123000000,0.904546,0.53698,123300000,21264
Group 1,123300000,0.935594,0.52339,123600000,18265
Group 1,123600000,0.928206,0.507743,123900000,18191
Group 1,123900000,0.902601,0.533217,124200000,17601
Group 1,124200000,0.886467,0.514167,124500000,18819
Group 1,124500000,0.953289,0.535473,124800000,18780
Group 1,124800000,0.935994,0.52521,125100000,18098
Group 1,125100000,0.943597,0.547643,125400000,20032
Group 1,125400000,0.920493,0.54656,125700000,18580
Group 1,125700000,0.948998,0.534213,126000000,20302
Group 1,126000000,0.887458,0.52368,126300000,19774
Group 1,126300000,0.878103,0.556877,126600000,18481
Group 1,126600000,0.849123,0.533183,126900000,18568
Group 1,126900000,0.954701,0.53818,127200000,19083
Group 1,127200000,0.857729,0.539393,127500000,19480
Group 1,127500000,0.949404,0.529657,127800000,20534
Group 1,127800000,0.945865,0.520233,128100000,19931
Group 1,128100000,0.907455,0.516247,128400000,17864
Group 1,128400000,0.876997,0.537803,128700000,19733
Group 1,128700000,0.877671,0.52797,129000000,19338
Group 1,129000000,0.928434,0.526893,129300000,18738
Group 1,129300000,0.927494,0.547173,129600000,20010
Group 1,129600000,0.889154,0.541163,129900000,17864
Group 1,129900000,0.956545,0.52153,130200000,19784
Group 1,130200000,0.914498,0.505127,130500000,19958
Group 1,130500000,0.907706,0.512413,130800000,19801
Group 1,130800000,0.930333,0.52415,131100000,19403
Group 1,131100000,0.884291,0.521823,131400000,17888
Group 1,131400000,0.917928,0.519293,131700000,18383
Group 1,131700000,0.954677,0.533707,132000000,18696
Group 1,132000000,0.899656,0.535813,132300000,18999
Group 1,132300000,0.918619,0.550457,132600000,19703
Group 1,132600000,0.912686,0.532433,132900000,20388
Group 1,132900000,0.898534,0.52675,133200000,19160
Group 1,133200000,0.892135,0.5361,133500000,17886
Group 1,133500000,0.932956,0.532423,133800000,18710
Group 1,133800000,0.889231,0.54197,134100000,20042
Group 1,134100000,0.925407,0.504303,134400000,21302
Group 1,134400000,0.932537,0.502113,134700000,18161
Group 1,134700000,0.93718,0.538433,135000000,18724
Group 1,135000000,0.944719,0.53756,135300000,17790
Group 1,135300000,0.934195,0.538487,135600000,17519
Group 1,135600000,0.946778,0.525703,135900000,19168
Group 1,135900000,0.922913,0.53651,136200000,20755
Group 1,136200000,0.941427,0.54221,136500000,19105
Group 1,136500000,0.914512,0.551637,136800000,19792
Group 1,136800000,0.940206,0.54324,137100000,19026
Group 1,137100000,0.931006,0.540853,137400000,20288
Group 1,137400000,0.93174,0.543347,137700000,20172
Group 1,137700000,0.939162,0.531727,138000000,19139
Group 1,138000000,0.920118,0.538237,138300000,20478
Group 1,138300000,0.82514,0.55209,138600000,23250
Group 1,138600000,0.898036,0.539207,138900000,17984
Group 1,138900000,0.938963,0.524253,139200000,18908
Group 1,139200000,0.907734,0.536227,139500000,16836
Group 1,139500000,0.911691,0.531667,139800000,19664
Group 1,139800000,0.917969,0.530593,140100000,18970
Group 1,140100000,0.924153,0.52298,140400000,21325
Group 1,140400000,0.942885,0.545327,140700000,19773
Group 1,140700000,0.899175,0.533763,141000000,19387
Group 1,141000000,0.905436,0.539463,141300000,18437
Group 1,141300000,0.929156,0.550123,141600000,18900
Group 1,141600000,0.931167,0.555187,141900000,18478
Group 1,141900000,0.924709,0.523333,142200000,19015
Group 1,142200000,0.918817,0.538667,142500000,20083
Group 1,142500000,0.927368,0.549883,142800000,18751
Group 1,142800000,0.926155,0.52585,143100000,17575
Group 1,143100000,0.909116,0.52144,143400000,18047
Group 1,143400000,0.888244,0.53127,143700000,15820
Group 1,143700000,0.893184,0.537367,144000000,16831
Group 1,144000000,0.904475,0.51973,144300000,18339
Group 1,144300000,0.93253,0.528823,144600000,18356
Group 1,144600000,0.963355,0.54288,144900000,18394
Group 1,144900000,0.898284,0.551247,145200000,18704
Group 1,145200000,0.925223,0.54159,145500000,19344
Group 1,145500000,0.896581,0.532423,145800000,16682
Group 1,145800000,0.93536,0.522797,146100000,19114
Group 1,146100000,0.922045,0.51988,146400000,19401
Group 1,146400000,0.919928,0.54029,146700000,18250
Group 1,146700000,0.911156,0.512,147000000,18470
Group 1,147000000,0.928598,0.556203,147300000,19267
Group 1,147300000,0.892694,0.50599,147600000,19755
Group 1,147600000,0.936067,0.5349,147900000,17352
Group 1,147900000,0.968669,0.51325,148200000,18737
Group 1,148200000,0.916361,0.524483,148500000,16063
Group 1,148500000,0.90722,0.524923,148800000,17523
Group 1,148800000,0.931746,0.535257,149100000,19109
Group 1,149100000,0.911387,0.54813,149400000,17151
Group 1,149400000,0.893934,0.530483,149700000,19116
Group 1,149700000,0.895249,0.501013,150000000,18255
Group 1,150000000,0.945286,0.513813,150300000,18994
Group 1,150300000,0.947753,0.527887,150600000,19982
Group 1,150600000,0.914955,0.53616,150900000,16754
Group 1,150900000,0.91464,0.536423,151200000,17700
Group 1,151200000,0.88762,0.5432,151500000,19041
Group 1,151500000,0.922628,0.53206,151800000,19402
Group 1,151800000,0.946321,0.533197,152100000,20455
Group 1,152100000,0.951005,0.539043,152400000,18971
Group 1,152400000,0.929342,0.528637,152700000,20144
Group 1,152700000,0.888855,0.530703,153000000,17076
Group 1,153000000,0.949098,0.505497,153300000,18391
Group 1,153300000,0.97678,0.513937,153600000,18919
Group 1,153600000,0.923295,0.546573,153900000,50057
Group 1,153900000,0.951086,0.530167,154200000,18172
Group 1,154200000,0.890236,0.52158,154500000,19165
Group 1,154500000,0.883963,0.53064,154800000,19320
Group 1,154800000,0.922698,0.51103,155100000,18438
Group 1,155100000,0.939148,0.526643,155400000,20741
Group 1,155400000,0.8929,0.498073,155700000,18854
Group 1,155700000,0.927523,0.498883,156000000,18827
Group 1,156000000,0.965928,0.524487,156300000,17708
Group 1,156300000,0.88229,0.534187,156600000,18393
Group 1,156600000,0.899673,0.552867,156900000,18456
Group 1,156900000,0.921459,0.533543,157200000,16665
Group 1,157200000,0.927746,0.535853,157500000,18083
Group 1,157500000,0.929895,0.541837,157800000,19706
Group 1,157800000,0.92463,0.519247,158100000,20908
Group 1,158100000,0.932547,0.528833,158400000,15984
Group 1,158400000,0.899194,0.53168,158700000,16428
Group 1,158700000,0.923109,0.499647,159000000,18090
Group 1,159000000,0.906791,0.535557,159300000,20144
Group 1,159300000,0.874465,0.517113,159600000,18640
Group 1,159600000,0.883441,0.54214,159900000,20918
Group 1,159900000,0.897978,0.51246,160200000,19712
Group 1,160200000,0.865172,0.525843,160500000,19622
Group 1,160500000,0.931301,0.503853,160800000,20236
Group 1,160800000,0.92453,0.51245,161100000,17326
